id,nome,umidade_pct,energia_kcal,energia_kj,proteina_g,lipideos_g,colesterol_mg,carboidrato_g,fibra_g,cinzas_g,calcio_mg,magnesio_mg,cluster,perfil_nutricional,objetivo_nutricional
338, Carne bovina charque cozido,45.8,263.0,1099.0,36.4,11.9,113.0,0.0,2.2,3.6,15.0,13.0,0,Proteinas,Ganho de Massa Muscular
340, Carne bovina contra-filé à milanesa,42.2,352.0,1471.0,20.6,24.0,99.0,12.2,0.4,1.1,15.0,27.0,0,Proteinas,Ganho de Massa Muscular
342, Carne bovina contra-filé de costela grelhado,52.2,275.0,1150.0,29.9,16.3,98.0,0.0,2.2,1.2,4.0,24.0,0,Proteinas,Ganho de Massa Muscular
344, Carne bovina contra-filé com gordura grelhado,51.7,278.0,1163.0,32.4,15.5,144.0,0.0,2.2,1.2,4.0,19.0,0,Proteinas,Ganho de Massa Muscular
346, Carne bovina contra-filé sem gordura grelhado,57.5,194.0,810.0,35.9,4.5,102.0,0.0,2.2,1.3,5.0,21.0,0,Proteinas,Equilibrado
347, Carne bovina costela assada,43.2,373.0,1561.0,28.8,27.7,95.0,0.0,2.2,1.0,28.0,20.0,0,Proteinas,Ganho de Massa Muscular
349, Carne bovina coxão duro sem gordura cozido,58.5,217.0,906.0,31.9,8.9,71.0,0.0,2.2,0.9,4.0,14.0,0,Proteinas,Equilibrado
351, Carne bovina coxão mole sem gordura cozido,58.0,219.0,915.0,32.4,8.9,84.0,0.0,2.2,1.2,4.0,13.0,0,Proteinas,Equilibrado
353, Carne bovina cupim assado,48.4,330.0,1381.0,28.6,23.0,91.0,0.0,2.2,1.0,8.0,18.0,0,Proteinas,Ganho de Massa Muscular
356, Carne bovina fígado grelhado,55.0,225.0,942.0,29.9,9.0,601.0,4.2,2.2,2.0,6.0,10.0,0,Proteinas,Equilibrado
358, Carne bovina filé mingnon sem gordura grelhado,57.0,220.0,919.0,32.8,8.8,103.0,0.0,2.2,1.3,4.0,28.0,0,Proteinas,Equilibrado
359, Carne bovina flanco sem gordura cozido,62.0,196.0,818.0,29.4,7.8,62.0,0.0,2.2,0.9,4.0,14.0,0,Proteinas,Equilibrado
361, Carne bovina fraldinha com gordura cozida,49.7,338.0,1416.0,24.2,26.0,65.0,0.0,2.2,0.7,3.0,14.0,0,Proteinas,Ganho de Massa Muscular
363, Carne bovina lagarto cozido,57.6,222.0,931.0,32.9,9.1,56.0,0.0,2.2,0.9,4.0,13.0,0,Proteinas,Equilibrado
365, Carne bovina língua cozida,53.4,315.0,1318.0,21.4,24.8,105.0,0.0,2.2,0.7,6.0,12.0,0,Proteinas,Ganho de Massa Muscular
368, Carne bovina maminha grelhada,65.3,153.0,641.0,30.7,2.4,88.0,0.0,2.2,1.4,4.0,21.0,0,Proteinas,Equilibrado
370, Carne bovina miolo de alcatra sem gordura grelhado,52.4,241.0,1010.0,31.9,11.6,92.0,0.0,2.2,1.2,5.0,26.0,0,Proteinas,Ganho de Massa Muscular
371, Carne bovina músculo sem gordura cozido,62.8,194.0,811.0,31.2,6.7,56.0,0.0,2.2,0.9,5.0,13.0,0,Proteinas,Equilibrado
374, Carne bovina paleta sem gordura cozida,62.9,194.0,810.0,29.7,7.4,56.0,0.0,2.2,0.8,6.0,18.0,0,Proteinas,Equilibrado
377, Carne bovina patinho sem gordura grelhado,55.2,219.0,917.0,35.9,7.3,126.0,0.0,2.2,1.3,5.0,27.0,0,Proteinas,Equilibrado
378, Carne bovina peito sem gordura cozido,51.2,338.0,1416.0,22.2,27.0,100.0,0.0,2.2,0.7,4.0,14.0,0,Proteinas,Ganho de Massa Muscular
381, Carne bovina picanha com gordura grelhada,53.4,289.0,1208.0,26.4,19.5,92.0,0.0,2.2,1.1,4.0,24.0,0,Proteinas,Ganho de Massa Muscular
383, Carne bovina picanha sem gordura grelhada,54.6,238.0,998.0,31.9,11.3,100.0,0.0,2.2,1.2,4.0,25.0,0,Proteinas,Ganho de Massa Muscular
384, Carne bovina seca cozida,47.2,313.0,1309.0,26.9,21.9,100.0,0.0,2.2,4.7,13.0,12.0,0,Proteinas,Ganho de Massa Muscular
386, Coxinha de frango frita,42.2,283.0,1184.0,9.6,11.8,15.0,34.5,5.0,1.8,18.0,17.0,1,Alta Energia/Carbo,Equilibrado
388, Croquete de carne frito,39.2,347.0,1451.0,16.9,22.7,38.0,18.1,2.2,3.1,18.0,30.0,0,Proteinas,Ganho de Massa Muscular
389, Empada de frango pré-cozida assada,28.2,358.0,1499.0,6.9,15.6,23.0,47.5,2.2,1.8,16.0,18.0,1,Alta Energia/Carbo,Equilibrado
390, Empada de frango pré-cozida,32.0,377.0,1579.0,7.3,22.9,23.0,35.5,2.2,2.2,14.0,17.0,1,Alta Energia/Carbo,Equilibrado
392, Frango caipira inteiro com pele cozido,59.7,243.0,1016.0,23.9,15.6,110.0,0.0,2.2,0.8,17.0,18.0,0,Proteinas,Ganho de Massa Muscular
393, Frango caipira inteiro sem pele cozido,61.4,196.0,819.0,29.6,7.7,106.0,0.0,2.2,1.1,66.0,23.0,0,Proteinas,Equilibrado
395, Frango coração grelhado,63.5,207.0,867.0,22.4,12.1,280.0,0.6,2.2,1.3,8.0,20.0,0,Proteinas,Equilibrado
396, Frango coxa com pele assada,59.8,215.0,900.0,28.5,10.4,145.0,0.1,2.2,1.3,8.0,14.0,0,Proteinas,Equilibrado
398, Frango coxa sem pele cozida,66.7,167.0,701.0,26.9,5.8,133.0,0.0,2.2,0.9,12.0,11.0,0,Proteinas,Equilibrado
401, Frango filé à milanesa,54.9,221.0,924.0,28.5,7.8,84.0,7.5,1.1,1.3,9.0,35.0,0,Proteinas,Equilibrado
403, Frango inteiro sem pele assado,63.2,187.0,784.0,28.0,7.5,111.0,0.0,2.2,1.2,9.0,14.0,0,Proteinas,Equilibrado
404, Frango inteiro sem pele cozido,67.5,170.0,713.0,25.0,7.1,99.0,0.0,2.2,0.9,8.0,12.0,0,Proteinas,Equilibrado
406, Frango peito com pele assado,58.5,212.0,886.0,33.4,7.6,109.0,0.0,2.2,1.5,8.0,18.0,0,Proteinas,Equilibrado
408, Frango peito sem pele cozido,65.6,163.0,681.0,31.5,3.2,89.0,0.0,2.2,1.0,6.0,14.0,0,Proteinas,Equilibrado
410, Frango peito sem pele grelhado,63.8,159.0,666.0,32.0,2.5,89.0,0.0,2.2,1.4,5.0,18.0,0,Proteinas,Equilibrado
411, Frango sobrecoxa com pele assada,55.0,260.0,1086.0,28.7,15.2,158.0,0.0,2.2,1.3,11.0,15.0,0,Proteinas,Ganho de Massa Muscular
413, Frango sobrecoxa sem pele assada,55.6,233.0,974.0,29.2,12.0,145.0,0.0,2.2,1.5,12.0,17.0,0,Proteinas,Equilibrado
416, Hambúrguer bovino frito,52.5,258.0,1081.0,20.0,17.0,49.0,6.3,2.2,4.2,62.0,60.0,0,Proteinas,Ganho de Massa Muscular
417, Hambúrguer bovino grelhado,59.2,210.0,878.0,13.2,12.4,59.0,11.3,2.2,3.9,56.0,48.0,3,Leves / Baixa caloria,Equilibrado
419, Lingüiça frango frita,59.6,245.0,1027.0,18.3,18.5,76.0,0.0,2.2,3.8,15.0,29.0,0,Proteinas,Ganho de Massa Muscular
420, Lingüiça frango grelhada,58.6,244.0,1019.0,18.2,18.4,80.0,0.0,2.2,3.8,14.0,21.0,0,Proteinas,Ganho de Massa Muscular
422, Lingüiça porco frita,54.6,280.0,1170.0,20.5,21.3,75.0,0.0,2.2,3.9,8.0,18.0,0,Proteinas,Ganho de Massa Muscular
423, Lingüiça porco grelhada,50.5,296.0,1241.0,23.2,21.9,82.0,0.0,2.2,4.0,8.0,19.0,0,Proteinas,Ganho de Massa Muscular
424, Mortadela,56.4,269.0,1125.0,12.0,21.6,83.0,5.8,2.2,4.1,67.0,19.0,0,Proteinas,Ganho de Massa Muscular
425, Peru congelado assado,65.3,163.0,682.0,26.2,5.7,91.0,0.0,2.2,2.2,14.0,12.0,0,Proteinas,Equilibrado
428, Porco bisteca frita,47.3,311.0,1302.0,33.7,18.5,126.0,0.0,2.2,1.6,69.0,29.0,0,Proteinas,Ganho de Massa Muscular
429, Porco bisteca grelhada,51.8,280.0,1172.0,28.9,17.4,82.0,0.0,2.2,1.2,34.0,25.0,0,Proteinas,Ganho de Massa Muscular
430, Porco costela assada,36.9,402.0,1683.0,30.2,30.3,113.0,0.0,2.2,1.4,17.0,14.0,0,Proteinas,Ganho de Massa Muscular
432, Porco lombo assado,56.6,210.0,880.0,35.7,6.4,103.0,0.0,2.2,1.4,20.0,18.0,0,Proteinas,Equilibrado
435, Porco pernil assado,49.3,262.0,1097.0,32.1,13.9,110.0,0.0,2.2,1.4,18.0,27.0,0,Proteinas,Ganho de Massa Muscular
438, Presunto com capa de gordura,73.9,128.0,535.0,14.4,6.8,40.0,1.4,2.2,3.5,12.0,17.0,3,Leves / Baixa caloria,Equilibrado
439, Presunto sem capa de gordura,77.2,94.0,392.0,14.3,2.7,36.0,2.1,2.2,3.7,23.0,18.0,3,Leves / Baixa caloria,Equilibrado
440, Quibe assado,69.0,136.0,570.0,14.6,2.7,34.0,12.9,1.9,0.9,16.0,36.0,3,Leves / Baixa caloria,Equilibrado
442, Quibe frito,54.0,254.0,1062.0,14.9,15.8,38.0,12.3,2.2,3.0,22.0,39.0,0,Proteinas,Ganho de Massa Muscular
443, Salame,34.7,398.0,1665.0,25.8,30.6,85.0,2.9,2.2,5.9,87.0,30.0,0,Proteinas,Ganho de Massa Muscular
445, Toucinho frito,6.3,697.0,2914.0,27.3,64.3,89.0,0.0,2.2,0.7,9.0,9.0,0,Proteinas,Ganho de Massa Muscular
446, Bebida láctea pêssego,87.7,55.0,231.0,2.1,1.9,5.0,7.6,0.3,0.7,89.0,9.0,3,Leves / Baixa caloria,Equilibrado
447, Creme de Leite,70.9,221.0,927.0,1.5,22.5,66.0,4.5,2.2,0.6,83.0,8.0,3,Leves / Baixa caloria,Equilibrado
448, Iogurte natural,90.0,51.0,215.0,4.1,3.0,14.0,1.9,2.2,0.9,143.0,11.0,3,Leves / Baixa caloria,Equilibrado
449, Iogurte natural desnatado,89.2,41.0,174.0,3.8,0.3,3.0,5.8,2.2,0.9,157.0,12.0,3,Leves / Baixa caloria,Equilibrado
450, Iogurte sabor abacaxi,59.6,212.0,889.0,7.0,5.8,6.0,9.4,2.2,1.1,19.0,17.0,3,Leves / Baixa caloria,Equilibrado
451, Iogurte sabor morango,84.6,70.0,291.0,2.7,2.3,7.0,9.7,0.2,0.6,101.0,8.0,3,Leves / Baixa caloria,Equilibrado
452, Iogurte sabor pêssego,85.1,68.0,284.0,2.5,2.3,8.0,9.4,0.7,0.6,95.0,8.0,3,Leves / Baixa caloria,Equilibrado
453, Leite condensado,27.0,313.0,1308.0,7.7,6.7,28.0,57.0,2.2,1.6,246.0,22.0,1,Alta Energia/Carbo,Equilibrado
454, Leite de cabra,87.1,66.0,278.0,3.1,3.8,14.0,5.2,2.2,0.9,112.0,10.0,3,Leves / Baixa caloria,Equilibrado
455, Leite de vaca achocolatado,80.9,83.0,347.0,2.1,2.2,6.0,14.2,0.6,0.7,70.0,13.0,3,Leves / Baixa caloria,Equilibrado
456, Leite de vaca desnatado pó,3.1,362.0,1513.0,34.7,0.9,25.0,53.0,2.2,8.2,1363.0,109.0,0,Proteinas,Ganho de Massa Muscular
457, Leite de vaca desnatado UHT,59.6,212.0,889.0,7.0,5.8,4.0,9.4,2.2,0.8,134.0,10.0,3,Leves / Baixa caloria,Equilibrado
458, Leite de vaca integral,59.6,212.0,889.0,7.0,5.8,10.0,9.4,2.2,0.8,123.0,10.0,3,Leves / Baixa caloria,Equilibrado
459, Leite de vaca integral pó,2.7,497.0,2078.0,25.4,26.9,85.0,39.2,2.2,5.8,890.0,77.0,1,Alta Energia/Carbo,Ganho de Massa Muscular
460, Leite fermentado,81.9,70.0,291.0,1.9,0.1,2.0,15.7,2.2,0.5,72.0,6.0,3,Leves / Baixa caloria,Equilibrado
461, Queijo minas frescal,56.1,264.0,1106.0,17.4,20.2,62.0,3.2,2.2,3.0,579.0,7.0,0,Proteinas,Ganho de Massa Muscular
462, Queijo minas meia cura,47.1,321.0,1342.0,21.2,24.6,76.0,3.6,2.2,3.5,696.0,27.0,0,Proteinas,Ganho de Massa Muscular
463, Queijo mozarela,45.3,330.0,1380.0,22.6,25.2,80.0,3.0,2.2,3.8,875.0,24.0,0,Proteinas,Ganho de Massa Muscular
464, Queijo parmesão,21.2,453.0,1895.0,35.6,33.5,106.0,1.7,2.2,8.0,992.0,33.0,0,Proteinas,Ganho de Massa Muscular
465, Queijo pasteurizado,54.4,303.0,1268.0,9.4,27.4,82.0,5.7,2.2,3.1,323.0,16.0,0,Proteinas,Equilibrado
466, Queijo petit suisse morango,72.2,121.0,507.0,5.8,2.8,12.0,18.5,2.2,0.7,731.0,27.0,3,Leves / Baixa caloria,Equilibrado
467, Queijo prato,42.4,360.0,1506.0,22.7,29.1,91.0,1.9,2.2,3.9,940.0,28.0,0,Proteinas,Ganho de Massa Muscular
468, Queijo requeijão cremoso,62.5,257.0,1074.0,9.6,23.4,74.0,2.4,2.2,2.0,259.0,12.0,3,Leves / Baixa caloria,Equilibrado
469, Queijo ricota,73.6,140.0,585.0,12.6,8.1,49.0,3.8,2.2,1.9,253.0,12.0,3,Leves / Baixa caloria,Equilibrado
470, Bebida isotônica sabores variados,93.5,26.0,107.0,0.0,0.0,76.5,6.4,2.2,0.1,1.0,17.0,3,Leves / Baixa caloria,Equilibrado
471, Café infusão 10%,97.4,9.0,38.0,0.7,0.1,76.5,1.5,2.2,0.4,3.0,10.0,3,Leves / Baixa caloria,Equilibrado
473, Cana caldo de,81.7,65.0,273.0,7.0,5.8,76.5,18.2,0.1,0.1,9.0,12.0,3,Leves / Baixa caloria,Equilibrado
475, Chá erva-doce infusão 5%,99.6,1.0,6.0,0.0,0.0,76.5,0.4,2.2,0.0,2.0,1.0,3,Leves / Baixa caloria,Equilibrado
476, Chá mate infusão 5%,99.3,3.0,11.0,0.0,0.1,76.5,0.6,2.2,0.0,1.0,2.0,3,Leves / Baixa caloria,Equilibrado
477, Chá preto infusão 5%,99.4,2.0,9.0,0.0,0.0,76.5,0.6,2.2,0.0,0.0,1.0,3,Leves / Baixa caloria,Equilibrado
478, Coco água de,94.3,22.0,90.0,0.0,0.0,76.5,5.3,0.1,0.5,19.0,5.0,3,Leves / Baixa caloria,Equilibrado
479, Refrigerante tipo água tônica,92.0,31.0,129.0,0.0,0.0,76.5,8.0,2.2,0.0,1.0,17.0,3,Leves / Baixa caloria,Equilibrado
480, Refrigerante tipo cola,91.3,34.0,140.0,0.0,0.0,76.5,8.7,2.2,0.1,1.0,17.0,3,Leves / Baixa caloria,Equilibrado
481, Refrigerante tipo guaraná,90.0,39.0,162.0,0.0,0.0,76.5,10.0,2.2,0.0,1.0,17.0,3,Leves / Baixa caloria,Equilibrado
482, Refrigerante tipo laranja,88.2,46.0,191.0,0.0,0.0,76.5,11.8,2.2,0.0,2.0,1.0,3,Leves / Baixa caloria,Equilibrado
483, Refrigerante tipo limão,89.7,40.0,166.0,0.0,0.0,76.5,10.3,2.2,0.0,2.0,1.0,3,Leves / Baixa caloria,Equilibrado
484, Omelete de queijo,60.5,268.0,1121.0,15.6,22.0,384.0,0.4,2.2,1.5,166.0,14.0,0,Proteinas,Ganho de Massa Muscular
486, Ovo de galinha clara cozida/10minutos,85.2,59.0,249.0,13.4,0.1,76.5,0.0,2.2,0.7,6.0,11.0,3,Leves / Baixa caloria,Equilibrado
487, Ovo de galinha gema cozida/10minutos,50.0,353.0,1476.0,15.9,30.8,1272.0,1.6,2.2,1.7,114.0,9.0,0,Proteinas,Ganho de Massa Muscular
488, Ovo de galinha inteiro cozido/10minutos,75.8,146.0,610.0,13.3,9.5,397.0,0.6,2.2,0.8,49.0,11.0,3,Leves / Baixa caloria,Equilibrado
490, Ovo de galinha inteiro frito,63.5,240.0,1005.0,15.6,18.6,516.0,1.2,2.2,1.1,73.0,16.0,0,Proteinas,Ganho de Massa Muscular
491, Achocolatado pó,1.1,401.0,1678.0,4.2,2.2,76.5,91.2,3.9,1.4,44.0,77.0,1,Alta Energia/Carbo,Equilibrado
492, Açúcar cristal,0.1,387.0,1619.0,0.3,5.8,76.5,99.6,2.2,1.1,8.0,1.0,1,Alta Energia/Carbo,Equilibrado
493, Açúcar mascavo,3.3,369.0,1542.0,0.8,0.1,76.5,94.5,2.2,1.4,127.0,80.0,1,Alta Energia/Carbo,Equilibrado
494, Açúcar refinado,0.1,387.0,1617.0,0.3,5.8,76.5,99.5,2.2,1.1,4.0,1.0,1,Alta Energia/Carbo,Equilibrado
495, Chocolate ao leite,1.3,540.0,2258.0,7.2,30.3,17.0,59.6,2.2,1.7,191.0,57.0,1,Alta Energia/Carbo,Equilibrado
496, Chocolate ao leite com castanha do Pará,1.2,559.0,2338.0,7.4,34.2,16.0,55.4,2.5,1.8,171.0,80.0,1,Alta Energia/Carbo,Equilibrado
497, Chocolate ao leite dietético,1.7,557.0,2330.0,6.9,33.8,13.0,56.3,2.8,1.3,188.0,67.0,1,Alta Energia/Carbo,Equilibrado
498, Chocolate meio amargo,1.0,475.0,1987.0,4.9,29.9,2.0,62.4,4.9,1.8,45.0,107.0,1,Alta Energia/Carbo,Equilibrado
499, Cocada branca,3.4,449.0,1878.0,1.1,13.6,76.5,81.4,3.6,0.5,7.0,17.0,1,Alta Energia/Carbo,Equilibrado
500, Doce de abóbora cremoso,43.9,199.0,832.0,0.9,0.2,76.5,54.6,2.3,0.4,13.0,6.0,3,Leves / Baixa caloria,Equilibrado
501, Doce de leite cremoso,27.5,306.0,1282.0,5.5,6.0,20.0,59.5,2.2,1.5,195.0,16.0,1,Alta Energia/Carbo,Equilibrado
502, Geléia mocotó natural,73.5,106.0,444.0,2.1,0.1,76.5,24.2,2.2,0.1,4.0,1.0,3,Leves / Baixa caloria,Equilibrado
503, Glicose de milho,20.4,292.0,1222.0,0.0,0.0,76.5,79.4,2.2,0.2,6.0,2.0,1,Alta Energia/Carbo,Equilibrado
504, Maria mole,21.6,301.0,1260.0,3.8,0.2,76.5,73.6,0.7,0.9,13.0,7.0,1,Alta Energia/Carbo,Equilibrado
505, Maria mole coco queimado,20.7,307.0,1283.0,3.9,0.1,76.5,75.1,0.6,0.2,19.0,6.0,1,Alta Energia/Carbo,Equilibrado
506, Marmelada,28.5,257.0,1076.0,0.4,0.1,76.5,70.8,4.1,0.2,11.0,6.0,1,Alta Energia/Carbo,Equilibrado
507, Mel de abelha,15.8,309.0,1294.0,0.0,0.0,76.5,84.0,2.2,0.1,10.0,6.0,1,Alta Energia/Carbo,Equilibrado
508, Melado,22.1,297.0,1241.0,0.0,0.0,76.5,76.6,2.2,1.3,102.0,115.0,1,Alta Energia/Carbo,Equilibrado
509, Quindim,23.9,411.0,1721.0,4.7,24.4,271.0,46.3,3.2,0.6,37.0,15.0,1,Alta Energia/Carbo,Equilibrado
510, Rapadura,7.1,352.0,1473.0,1.0,0.1,76.5,90.8,2.2,1.1,30.0,47.0,1,Alta Energia/Carbo,Equilibrado
511, Café pó torrado,2.9,419.0,1752.0,14.7,11.9,76.5,65.8,51.2,4.7,107.0,165.0,2,Alimentos em Fibras,Ganho de Massa Muscular
512, Capuccino pó,2.6,417.0,1746.0,11.3,8.6,29.0,73.6,2.4,3.8,467.0,71.0,1,Alta Energia/Carbo,Ganho de Massa Muscular
513, Fermento em pó químico,7.1,90.0,375.0,0.5,0.1,76.5,43.9,2.2,48.5,19.0,17.0,3,Leves / Baixa caloria,Equilibrado
514, Fermento biológico levedura tablete,71.9,90.0,376.0,17.0,1.5,76.5,7.7,4.2,1.9,18.0,38.0,3,Leves / Baixa caloria,Diabetes
515, Gelatina sabores variados pó,1.2,380.0,1591.0,8.9,5.8,76.5,89.2,2.2,0.6,27.0,2.0,1,Alta Energia/Carbo,Equilibrado
516, Sal dietético,0.6,212.0,889.0,7.0,5.8,76.5,9.4,2.2,99.4,19.0,17.0,3,Leves / Baixa caloria,Equilibrado
517, Sal grosso,0.4,212.0,889.0,7.0,5.8,76.5,9.4,2.2,1.1,19.0,17.0,3,Leves / Baixa caloria,Equilibrado
518, Shoyu,70.6,61.0,255.0,3.3,0.3,76.5,11.6,2.2,14.1,15.0,24.0,3,Leves / Baixa caloria,Equilibrado
519, Tempero a base de sal,7.7,21.0,89.0,2.7,0.3,76.5,2.1,0.6,87.3,19.0,17.0,3,Leves / Baixa caloria,Equilibrado
520, Azeitona preta conserva,68.5,194.0,812.0,1.2,20.3,76.5,5.5,4.6,4.5,59.0,5.0,3,Leves / Baixa caloria,Diabetes
521, Azeitona verde conserva,76.3,137.0,573.0,0.9,14.2,76.5,4.1,3.8,4.5,46.0,4.0,3,Leves / Baixa caloria,Diabetes
522, Chantilly spray com gordura vegetal,55.1,315.0,1318.0,0.5,27.3,76.5,16.9,2.2,0.2,2.0,1.0,1,Alta Energia/Carbo,Equilibrado
523, Leite de coco,78.0,166.0,695.0,1.0,18.4,76.5,2.2,0.7,0.4,6.0,17.0,3,Leves / Baixa caloria,Equilibrado
524, Maionese tradicional com ovos,58.4,302.0,1264.0,0.6,30.5,42.0,7.9,2.2,2.6,3.0,1.0,3,Leves / Baixa caloria,Equilibrado
525, Acarajé,50.5,289.0,1210.0,8.3,19.9,25.0,19.1,9.4,2.1,124.0,51.0,2,Alimentos em Fibras,Diabetes
526, Arroz carreteiro,68.0,154.0,643.0,10.8,7.1,36.0,11.6,1.5,2.4,13.0,9.0,3,Leves / Baixa caloria,Equilibrado
527, Baião de dois arroz e feijão-de-corda,69.1,136.0,568.0,6.2,3.2,4.0,20.4,5.1,1.1,33.0,19.0,3,Leves / Baixa caloria,Diabetes
528, Barreado,71.2,165.0,690.0,18.3,9.5,60.0,0.2,0.1,0.8,15.0,21.0,0,Proteinas,Equilibrado
529, Bife à cavalo com contra filé,54.2,291.0,1219.0,23.7,21.1,257.0,0.0,2.2,1.1,26.0,19.0,0,Proteinas,Ganho de Massa Muscular
530, Bolinho de arroz,41.5,274.0,1144.0,8.0,8.3,70.0,41.7,2.7,0.5,24.0,13.0,1,Alta Energia/Carbo,Equilibrado
531, Camarão à baiana,82.0,101.0,422.0,7.9,6.0,117.0,3.2,0.4,0.9,43.0,15.0,3,Leves / Baixa caloria,Equilibrado
532, Charuto de repolho,81.5,78.0,327.0,6.8,1.1,21.0,10.1,1.5,0.4,23.0,13.0,3,Leves / Baixa caloria,Equilibrado
533, Cuscuz de milho cozido com sal,71.1,113.0,475.0,2.2,0.7,76.5,25.3,2.1,0.7,2.0,3.0,3,Leves / Baixa caloria,Equilibrado
534, Cuscuz paulista,68.9,142.0,595.0,2.6,4.6,15.0,22.5,2.4,1.3,14.0,5.0,3,Leves / Baixa caloria,Equilibrado
535, Cuxá molho,81.0,80.0,335.0,5.6,3.6,58.0,5.7,3.0,4.0,105.0,34.0,3,Leves / Baixa caloria,Equilibrado
536, Dobradinha,75.3,125.0,521.0,19.8,4.4,144.0,0.0,2.2,0.3,11.0,8.0,0,Proteinas,Equilibrado
537, Estrogonofe de carne,70.1,173.0,724.0,15.0,10.8,66.0,3.0,2.2,1.1,28.0,22.0,0,Proteinas,Equilibrado
538, Estrogonofe de frango,70.9,157.0,656.0,17.6,8.0,80.0,2.6,2.2,1.0,26.0,25.0,0,Proteinas,Equilibrado
539, Feijão tropeiro mineiro,61.7,152.0,634.0,10.2,6.8,68.0,19.6,3.6,1.8,41.0,36.0,3,Leves / Baixa caloria,Diabetes
540, Feijoada,71.8,117.0,489.0,8.7,6.5,22.0,11.6,5.1,1.4,32.0,32.0,3,Leves / Baixa caloria,Diabetes
541, Frango com açafrão,79.5,113.0,472.0,9.7,6.2,50.0,4.1,0.2,0.5,13.0,16.0,3,Leves / Baixa caloria,Equilibrado
542, Macarrão molho bolognesa,71.4,120.0,500.0,4.9,0.9,7.0,22.5,0.8,0.2,11.0,10.0,3,Leves / Baixa caloria,Equilibrado
543, Maniçoba,76.4,134.0,562.0,10.0,8.7,43.0,3.4,2.2,1.5,66.0,24.0,3,Leves / Baixa caloria,Equilibrado
544, Quibebe,81.1,86.0,361.0,8.6,2.7,76.5,6.6,1.7,1.0,8.0,10.0,3,Leves / Baixa caloria,Equilibrado
545, Salada de legumes com maionese,82.0,96.0,402.0,1.1,7.0,7.0,8.9,2.2,0.9,12.0,9.0,3,Leves / Baixa caloria,Equilibrado
546, Salada de legumes cozida no vapor,90.0,35.0,148.0,2.0,0.3,76.5,7.1,2.5,0.6,33.0,19.0,3,Leves / Baixa caloria,Equilibrado
547, Salpicão de frango,72.5,148.0,619.0,13.9,7.8,53.0,4.6,0.4,1.1,9.0,13.0,3,Leves / Baixa caloria,Equilibrado
548, Sarapatel,75.0,123.0,515.0,18.5,4.4,315.0,1.1,2.2,1.1,12.0,13.0,0,Proteinas,Equilibrado
549, Tabule,85.8,57.0,240.0,2.0,1.2,76.5,10.6,2.1,0.4,19.0,18.0,3,Leves / Baixa caloria,Equilibrado
550, Tacacá,85.2,47.0,196.0,7.0,0.4,71.0,3.4,0.2,4.1,45.0,30.0,3,Leves / Baixa caloria,Equilibrado
551, Tapioca com manteiga,24.9,348.0,1455.0,0.1,10.9,31.0,63.6,2.2,0.5,30.0,3.0,1,Alta Energia/Carbo,Equilibrado
552, Tucupi com pimenta-de-cheiro,91.9,27.0,114.0,2.1,0.3,76.5,4.7,0.2,1.0,28.0,42.0,3,Leves / Baixa caloria,Equilibrado
553, Vaca atolada,75.0,145.0,606.0,5.1,9.3,19.0,10.1,2.3,0.5,63.0,16.0,3,Leves / Baixa caloria,Equilibrado
554, Vatapá,58.4,255.0,1066.0,6.0,23.2,44.0,9.7,1.7,2.7,47.0,39.0,3,Leves / Baixa caloria,Equilibrado
555, Virado à paulista,48.6,307.0,1284.0,10.2,25.6,66.0,14.1,2.2,1.5,41.0,22.0,0,Proteinas,Equilibrado
556, Yakisoba,69.4,113.0,472.0,7.5,2.6,76.5,18.3,1.1,2.2,14.0,13.0,3,Leves / Baixa caloria,Equilibrado
558, Amendoim torrado salgado,1.7,606.0,2535.0,22.5,54.0,76.5,18.7,7.8,3.2,39.0,159.0,2,Alimentos em Fibras,Diabetes
559, Ervilha em vagem,76.8,88.0,367.0,7.5,0.5,76.5,14.2,9.7,1.0,24.0,42.0,3,Leves / Baixa caloria,Diabetes
560, Ervilha enlatada drenada,80.1,74.0,309.0,4.6,0.4,76.5,13.4,5.1,1.4,22.0,23.0,3,Leves / Baixa caloria,Diabetes
561, Feijão carioca cozido,80.4,76.0,320.0,4.8,0.5,76.5,13.6,8.5,0.7,27.0,42.0,3,Leves / Baixa caloria,Diabetes
563, Feijão fradinho cozido,80.0,78.0,326.0,5.1,0.6,76.5,13.5,7.5,0.8,17.0,38.0,3,Leves / Baixa caloria,Diabetes
565, Feijão jalo cozido,75.8,93.0,388.0,6.1,0.5,76.5,16.5,13.9,1.0,29.0,44.0,2,Alimentos em Fibras,Diabetes
567, Feijão preto cozido,80.2,77.0,322.0,4.5,0.5,76.5,14.0,8.4,0.8,29.0,40.0,3,Leves / Baixa caloria,Diabetes
569, Feijão rajado cozido,77.9,85.0,354.0,5.5,0.4,76.5,15.3,9.3,0.9,29.0,42.0,3,Leves / Baixa caloria,Diabetes
571, Feijão rosinha cozido,82.6,68.0,284.0,4.5,0.5,76.5,11.8,4.8,0.6,19.0,43.0,3,Leves / Baixa caloria,Diabetes
573, Feijão roxo cozido,80.0,77.0,322.0,5.7,0.5,76.5,12.9,11.5,0.8,23.0,34.0,3,Leves / Baixa caloria,Diabetes
577, Lentilha cozida,76.3,93.0,388.0,6.3,0.5,76.5,16.3,7.9,0.6,16.0,22.0,3,Leves / Baixa caloria,Diabetes
